,target
42461,7
49735,2
12959,6
65645,9
58529,9
57128,5
36912,3
15289,8
39270,1
28915,8
18370,2
13427,6
58507,7
36654,7
49821,3
26180,6
9514,5
59346,5
16457,8
68814,6
17846,1
49589,3
26140,3
3263,9
68270,5
65432,5
24064,7
14552,3
67328,2
44661,1
1584,2
66996,9
40381,8
26692,3
53091,3
31255,6
65743,6
66360,7
63424,6
22127,9
12796,0
45816,1
12673,6
28277,5
16889,6
58795,4
68954,4
49552,4
23874,5
4350,9
8157,0
29100,5
59918,0
1995,0
56628,8
69191,2
6778,4
39854,0
49017,4
24128,5
5075,1
28956,7
40075,0
43265,0
45732,3
8548,5
19834,3
34329,1
926,4
42280,2
65130,9
61719,8
30042,5
1232,4
37919,9
55131,9
41633,2
1905,9
54151,5
60487,9
40827,4
62214,5
33907,9
38391,8
65165,0
44307,5
12797,2
35479,9
19577,9
35418,4
7101,8
34709,4
21173,1
66494,3
28674,9
39821,7
22979,5
24761,4
34862,3
13138,2
56007,1
19662,8
13763,9
6418,5
62637,9
35898,3
33209,6
20903,3
26639,0
39946,5
36942,2
10861,0
9380,3
35234,4
65675,8
28063,1
17693,0
10820,9
10348,0
37276,5
62111,8
27113,2
43349,1
27346,4
37147,7
27201,1
30438,0
42712,8
19323,1
34482,9
17469,4
11231,0
57280,7
38746,0
36733,4
31318,1
7375,2
50353,0
34158,1
33951,2
20320,6
7358,0
12508,1
54676,2
19350,8
28540,0
64506,2
50628,0
7304,7
37858,4
14961,7
65817,4
68796,9
63742,3
32556,4
36837,4
4173,7
23645,7
67410,0
57144,4
51767,1
16132,9
52942,2
53402,3
47210,4
6495,8
36824,0
57867,7
18527,3
43656,8
38774,1
6565,1
829,6
27148,0
28048,5
50529,3
38944,5
1506,6
17978,9
454,1
66789,1
64463,5
63262,7
35424,6
55846,1
21922,4
43081,0
69044,7
38791,8
2755,5
24335,5
25734,1
60220,7
25295,5
25468,5
58178,8
14100,5
831,8
30130,3
64025,1
6280,7
264,9
52647,2
11755,3
22090,7
26934,6
18653,9
21674,2
12451,3
67908,7
44298,2
48601,0
18965,3
757,5
27671,3
17767,4
68785,3
34386,7
6748,1
21395,8
9439,0
12934,8
24846,0
21294,6
33692,6
48729,0
48372,8
35119,6
22858,7
36760,7
36712,0
60813,9
24850,3
50847,1
60626,7
2690,5
1346,0
29749,5
32442,4
39361,4
57062,8
53369,9
18115,1
47443,2
33696,9
41022,4
28330,9
26272,7
68900,9
37867,9
24876,2
28618,9
11444,8
52569,1
18367,7
32160,0
44590,7
65303,6
18723,5
18042,0
68320,2
4687,2
52601,3
67058,6
46033,4
14566,3
64904,3
11575,8
14893,8
57036,6
23480,9
47330,4
36909,4
50859,9
30786,7
4817,6
29987,6
22810,8
52592,8
21101,1
58141,5
36715,2
13771,2
42191,7
15083,2
9815,1
398,1
11296,3
53208,8
42782,7
13802,7
65805,9
27239,2
29304,3
37780,0
68760,6
57225,2
27547,0
23927,5
66581,2
45625,9
54736,3
44343,8
65426,4
46176,9
82,2
25290,0
42651,9
33498,1
54274,7
28660,1
1814,4
48,9
60057,1
28753,9
65954,2
3109,6
41143,3
59315,3
15391,2
15149,8
35013,9
36901,2
2397,6
42445,3
32329,8
4243,6
6396,6
4892,0
7542,1
20354,7
42508,3
15388,3
36380,1
59720,2
25172,3
24721,1
24498,8
30266,4
1681,1
2462,1
44274,2
6107,4
60293,2
68392,4
20701,6
8670,2
63275,5
45541,1
43985,5
66529,4
18530,6
31279,1
44784,2
63780,4
32369,4
7806,1
26541,2
57620,2
23094,7
39697,6
62440,4
55322,5
30078,2
20373,1
42834,1
62240,7
66474,4
30986,3
66132,2
64495,0
20283,0
47050,1
59539,2
36216,3
47462,8
30762,2
41745,2
41055,1
62982,1
11011,3
52706,5
45390,5
7335,9
40858,3
48293,2
56451,7
33793,9
35120,8
5816,2
52001,2
25969,9
19837,1
12672,2
33919,6
62551,3
63789,1
23685,4
5828,5
31284,7
37606,5
25983,1
14381,2
36106,1
13551,5
62524,1
31147,6
7262,2
39573,5
8358,9
17890,5
43076,3
5135,2
2549,5
35772,8
43939,0
52117,9
28562,7
62233,8
59915,4
47597,8
25361,4
32833,6
7960,2
11869,2
42147,8
36662,2
2195,0
27455,1
37973,6
19734,3
59251,6
49032,5
56904,6
47176,8
15802,2
5086,3
58295,6
32943,5
49975,2
6402,6
2895,3
9189,4
53693,4
57275,6
45547,5
40414,0
31889,8
24370,8
66356,1
42374,0
32539,3
32312,6
60808,3
33635,7
69973,9
11139,9
24360,2
3722,2
20612,2
61798,3
29703,4
67210,6
9437,9
29159,7
38444,6
11724,8
55014,1
24817,9
55989,8
34943,0
41442,6
19305,1
65972,5
54733,6
65026,9
46000,9
43363,8
15163,3
1078,0
51899,8
55699,7
48843,9
30136,3
28166,1
3141,5
22966,8
33894,4
38537,7
12090,6
38134,5
3462,3
60128,8
17242,3
22097,7
60590,3
51977,6
53453,3
69006,2
33618,7
63707,8
66174,3
35214,5
8600,4
7660,3
58180,0
14573,7
68259,9
46567,6
21563,5
34791,6
9913,3
33288,5
41571,7
40698,8
57184,4
39410,5
60788,9
58111,6
17920,5
31574,4
4659,7
2398,9
28062,9
28838,9
47770,1
14304,8
35300,8
26128,4
49989,0
28851,8
1271,4
10978,2
3149,1
41409,1
67299,1
29283,0
36972,7
64676,1
15847,3
57464,1
68552,4
14974,9
8168,7
22310,5
62390,2
15881,9
1299,2
3997,3
33787,4
34075,8
45688,9
30145,1
42368,7
68483,3
45867,2
21903,0
12624,7
29762,7
47113,2
1730,7
3645,9
15303,6
32372,5
63503,9
52732,7
14082,9
32484,3
8632,2
44424,2
20826,9
16714,1
5138,4
58436,4
29728,6
55390,6
20893,9
42470,8
33715,6
32626,7
61510,5
47981,4
7520,2
45290,1
10056,5
19544,1
738,1
25672,2
35608,5
50953,2
42969,2
10536,5
511,7
7471,0
32356,9
15064,0
40793,4
37601,2
48952,7
27259,5
57390,0
5266,0
49042,1
54268,8
43124,2
20745,6
47489,9
66064,2
3458,4
53282,3
54022,7
26931,6
45642,3
68819,1
21777,4
5429,1
68883,7
44517,6
25130,7
37802,1
42304,4
60821,0
51350,4
43758,3
9148,4
18216,2
28808,9
67482,2
61055,7
52205,1
30188,7
33453,8
55526,2
46328,0
22581,5
11652,4
68093,9
28824,0
41380,6
62316,1
2188,1
16561,9
42702,1
12988,8
64878,2
6004,5
2901,8
20507,8
8738,1
48432,7
45736,3
40372,9
7863,4
33923,0
5325,7
63464,1
39086,6
48809,6
26431,2
37699,5
40739,3
63108,3
56686,0
34806,5
68567,0
20605,7
18006,7
32582,5
32478,8
10048,1
46036,2
58073,0
65211,1
67358,6
42681,3
38952,2
24808,1
48282,4
18127,7
35774,1
28651,2
18238,6
69493,5
46635,5
37108,9
59267,0
10610,5
2186,5
69626,5
12276,0
29244,2
24675,7
39526,5
9262,6
18130,8
19241,0
4393,7
10625,0
62147,9
9142,0
36656,8
58633,5
20472,8
56229,5
8480,2
34609,7
47752,0
40891,7
137,8
58049,4
20891,6
28766,8
47288,6
13792,8
47435,1
44042,7
50881,5
49904,9
6211,2
32670,6
16078,3
25641,3
2249,6
45221,1
41775,4
17380,7
3604,1
2216,9
21847,1
4950,1
16464,4
13436,8
27389,3
9310,0
17563,6
52464,3
32415,5
45296,4
66957,3
25510,2
58997,6
8540,0
52823,4
46634,3
25603,5
64489,9
39852,3
69471,4
30686,9
25704,1
55435,9
14610,6
26152,1
39495,6
54987,2
34011,8
68451,3
42060,8
50770,3
24321,2
35405,2
21212,8
45040,7
56378,8
20732,8
27438,6
67365,3
56916,6
15895,7
5065,2
37510,0
15213,7
34902,2
29628,1
14204,5
15179,4
56648,4
17652,6
52291,1
27960,3
51023,7
66294,6
27940,6
5394,8
53727,2
30953,4
63599,2
54594,8
31090,4
39393,1
10126,8
11062,6
21059,5
48192,8
32922,6
44085,9
61161,6
29323,1
12065,7
21253,1
60216,3
43056,5
10335,6
57527,3
27178,2
20040,4
19377,3
27895,1
9015,6
22779,5
28981,1
56470,1
49103,3
20416,6
44255,6
66332,4
2461,5
11023,4
64586,3
44385,3
26546,4
5206,7
7644,7
8942,6
29146,3
42349,0
49668,5
27173,3
10049,5
2923,6
56652,7
2714,2
8814,6
20260,7
7718,6
17649,7
7782,2
17587,1
47270,2
