,target
42602,1
38889,0
26541,2
9295,6
23233,6
33596,1
26189,7
53061,8
52003,5
10470,3
42616,4
19605,8
27613,8
32203,3
54233,5
62602,2
21746,4
20003,3
47725,3
8185,1
57330,5
38385,4
7517,4
4582,8
53653,8
44252,7
20308,9
48298,7
52936,3
4651,2
36630,4
60471,9
28651,2
44284,4
10596,8
26632,2
55465,9
52148,9
45544,0
68148,6
29369,9
35919,7
60542,8
29620,6
32350,9
1209,0
3554,8
54418,1
9665,7
44093,1
10291,2
40391,9
23886,1
686,7
1155,1
37485,4
43494,3
67399,1
41550,8
22391,2
23748,9
27704,6
40400,0
1462,9
64347,6
7484,2
63834,3
8020,7
67697,9
33592,9
38869,7
23655,5
32444,3
57331,2
43114,9
26474,8
29164,8
35904,4
26965,3
24592,6
29030,1
39320,6
22506,5
37544,6
39697,6
47519,3
27458,2
14986,1
44213,4
55402,0
39653,8
22697,4
69931,1
35856,1
21582,3
3722,2
56338,1
57354,4
19630,1
68612,2
36079,6
60337,7
38054,0
67896,1
30556,1
53168,1
18965,3
240,8
23881,4
58173,3
1899,7
24822,4
9773,0
10298,6
2904,0
57700,0
45381,9
35621,1
3029,8
12742,7
31212,6
24925,8
42043,3
38113,5
23903,5
56454,0
35831,1
64009,9
4838,4
60956,1
36125,6
45232,9
20760,1
61473,5
2898,6
63301,2
61714,9
44860,4
22439,8
69034,4
24329,1
58401,9
19965,3
33698,2
53215,6
26261,0
13900,7
30674,7
46199,1
10061,8
62588,7
61153,6
59494,7
14707,5
20577,0
53712,3
44731,4
40106,8
40430,7
37037,6
14379,7
60401,8
10026,0
58158,8
68260,0
766,8
23157,3
63367,2
34771,0
49258,6
47024,2
64559,2
25175,4
62844,7
23627,0
7234,1
40313,0
51487,8
29669,1
5870,3
58468,2
30823,8
32007,0
50150,1
5023,1
1892,6
50262,3
25337,6
7510,2
44994,1
23346,6
31178,3
37228,6
65699,1
22339,6
62000,6
26346,9
18256,1
55456,6
2947,6
56855,4
20986,8
47633,7
28487,4
68758,1
49067,2
62082,2
51454,4
68813,5
64281,0
38042,0
40817,0
22933,4
2870,1
24571,7
4234,3
24767,4
38791,8
19383,7
9854,7
63388,4
2714,2
13081,0
43769,2
9103,1
12661,3
56062,9
29689,7
66048,7
61488,4
45650,1
32528,1
14863,3
67165,1
59719,9
43949,4
34663,8
37714,0
61726,0
61849,4
59490,3
62692,9
34202,2
59319,0
13092,5
4483,9
22760,8
23987,8
8339,5
31151,5
59415,2
11213,8
15653,9
35184,6
32318,2
18691,7
17184,1
7145,4
13246,6
43971,1
9310,0
6009,4
17511,4
24199,9
24975,7
41923,4
24682,7
67319,1
41643,0
