,target
45943,2
54158,4
1700,1
20757,6
41443,0
33252,9
31481,6
12258,6
10365,1
32065,2
916,5
35228,5
55983,4
7967,5
20863,0
45953,0
8980,7
45643,6
35119,6
64920,2
26131,5
63540,0
55315,0
38765,8
10798,5
67589,4
39210,2
30101,0
14643,7
57934,4
67674,3
57417,4
55626,6
4321,0
19188,1
65993,0
60057,1
9295,6
48185,0
40810,7
53601,7
68145,8
10340,0
63407,3
46435,9
31856,6
61106,6
34553,0
15719,4
61211,1
43719,7
27572,1
72,1
41831,8
15852,4
53727,2
57938,4
17920,5
29873,0
33587,3
37636,3
31767,9
13753,7
40930,5
47210,4
9264,1
57073,0
32786,3
25042,1
40262,0
4710,1
36175,6
20835,4
5557,8
22117,9
4440,8
27074,9
11511,3
9083,0
18207,1
33660,7
14617,2
38279,9
12910,9
24109,4
35712,0
43414,7
59787,1
62454,6
21709,1
29918,0
31932,1
7706,2
34208,3
15867,2
15840,4
49864,3
5318,2
41857,0
48952,7
36267,6
10750,0
44712,4
21848,0
428,9
48083,6
26626,2
40888,0
69257,7
47584,6
33163,0
64377,4
7188,1
686,7
67270,1
23127,7
69508,0
17339,2
11374,8
50194,1
40915,0
6950,9
645,3
67298,9
37526,2
58941,7
50290,2
33853,4
26821,2
4630,9
45588,1
16416,8
17197,8
11500,5
14857,0
16822,6
21465,1
64461,5
11239,8
23386,7
555,2
23901,9
25477,8
7551,4
55989,8
41115,8
56168,2
7874,0
26639,0
60370,7
5039,6
25645,3
54270,3
37739,0
63083,3
11861,4
3386,3
16708,3
16772,2
49647,4
32126,4
26854,7
48168,0
47084,6
59410,2
40159,5
28204,3
55456,6
65203,1
31371,6
8697,6
47406,0
58355,1
68392,4
27313,3
58902,4
34992,1
43082,7
55283,3
49215,8
9999,7
35281,1
20924,4
37501,2
18110,2
50789,1
33300,9
60144,7
53275,5
21108,9
539,8
69448,7
64063,6
26819,6
57501,8
21562,9
44963,6
8700,3
8676,5
1710,1
6889,7
50529,3
14095,7
4242,7
64910,9
48281,3
46695,6
2460,9
23478,4
32452,8
20354,7
62803,1
248,1
17394,1
69498,0
47505,8
47108,1
432,2
10021,8
65829,2
18947,5
33320,4
34486,0
12033,4
64941,2
27396,1
26431,2
43919,7
54651,1
35149,1
22030,5
21294,6
11006,2
42903,9
60430,1
25770,6
62626,1
10758,4
55925,4
41965,2
68365,2
61720,4
24311,8
66942,5
62236,0
21061,6
30378,9
3418,1
5708,1
42477,3
12657,1
21624,7
53863,3
21049,0
35929,3
31694,5
44073,6
13407,8
59068,7
3274,2
45205,1
31778,0
19960,6
44481,5
5699,8
44541,2
45020,7
49108,3
55459,5
65704,9
1084,1
293,0
49348,5
65818,0
38260,6
60586,0
34924,6
59123,8
20887,1
61354,3
65323,1
36656,8
9226,3
63071,2
50134,4
43515,8
37131,7
8512,1
62318,0
41592,8
17598,5
18578,4
39091,8
60126,0
16274,8
44331,6
33155,9
56042,7
19421,1
24970,1
56662,0
7533,1
31423,7
44965,7
69006,2
14341,9
59004,2
54832,0
49849,7
61587,6
9518,2
59481,4
5389,8
4260,9
35920,7
43458,1
53777,6
23886,1
31399,8
29210,7
64435,3
54358,4
35481,0
58757,5
1798,0
26506,4
63196,1
57823,6
40485,9
3115,6
55715,3
16839,9
30648,6
15903,1
6089,3
66241,0
59054,3
22621,1
62889,4
67182,9
4309,5
30291,2
61480,3
69343,6
30554,4
65923,4
13273,1
69817,8
43114,9
38792,5
26313,5
1826,9
47939,3
66494,3
37031,5
2397,6
68151,7
69900,8
51633,2
59614,4
41941,7
8215,4
35288,2
890,3
50881,5
60247,4
14136,6
32437,2
12825,9
48532,0
60942,6
38087,9
21467,8
7901,6
62640,8
49514,4
51268,3
10106,2
6040,3
69530,9
18653,9
43058,9
18472,7
42822,4
66406,6
60224,1
50635,6
64317,3
25285,0
57622,6
21019,1
37305,1
12330,3
14995,1
48,9
36760,7
66815,7
15334,6
51383,4
58269,4
68951,0
8141,9
33234,7
23334,7
61664,8
33739,0
26006,2
54894,2
23130,3
31712,7
63577,2
57976,2
4117,9
23937,6
17051,0
16692,5
55781,8
33175,1
28368,9
46776,8
21460,1
5240,5
15143,5
48658,8
13747,5
13059,2
65113,1
28553,9
20235,9
26561,3
26246,4
17448,2
58668,0
51023,7
31595,3
40382,3
40738,5
52823,4
55375,9
44307,5
61600,3
59566,9
41787,9
10871,5
11489,3
41141,2
47984,2
23759,3
21138,9
47796,1
42443,2
62603,9
30936,7
65314,1
59818,3
48915,2
26676,5
36998,2
7058,3
5442,3
38012,4
50380,7
61429,9
10349,3
3535,5
21371,5
5545,2
33947,0
27188,2
6797,4
60162,5
24075,0
1834,5
14252,1
12756,5
43292,2
18221,6
25455,8
38676,6
37655,2
24224,6
55647,7
58493,1
55816,2
52354,0
63105,2
50193,6
21520,8
52195,5
10183,9
41210,1
69375,8
18381,6
5953,7
43597,2
43692,8
26762,8
54149,4
26346,9
16655,5
8534,4
24633,2
594,8
2035,6
8115,3
52802,2
62513,7
61073,5
32631,6
51691,7
64684,2
15178,5
59203,0
11370,7
25233,9
39511,4
53518,1
19463,2
44798,4
63517,4
18503,3
60590,3
64629,8
68092,4
31179,1
62068,9
25238,2
39393,1
29728,6
28801,2
50046,7
21949,7
28330,9
48236,1
31604,0
19813,4
56477,4
36161,9
17713,2
28737,9
1442,5
2138,6
48644,5
63412,0
30580,2
17390,4
13661,6
25925,4
59987,0
54333,6
30691,4
36817,4
39384,3
45274,6
56344,5
64195,1
37682,9
35388,5
35718,6
27139,5
40282,6
7449,5
20316,9
17563,6
18173,7
26262,0
27758,7
22722,4
13992,1
13478,3
42175,1
68628,6
13053,7
56367,1
22459,3
33183,1
16287,1
50564,4
32421,3
31257,7
11995,1
48320,2
42840,3
69248,7
56714,1
69549,1
37856,0
25538,3
19241,0
15068,1
50877,7
20102,8
54904,5
37493,8
981,7
19398,5
62170,6
52183,6
33286,9
1694,6
5861,6
11236,1
16295,5
24409,7
6167,7
1299,2
67936,3
23468,2
52875,5
41492,1
13264,5
24330,5
3543,6
387,7
63236,7
17711,1
40438,1
44281,1
65685,0
64068,8
47773,1
39805,1
30184,9
23006,5
3743,0
23469,7
37357,9
18823,4
25529,0
10463,6
35521,8
10576,9
49930,6
48803,9
63757,8
24965,3
38361,3
18621,7
54574,2
63044,0
48893,7
47019,1
49311,0
11842,5
7288,3
60652,1
31065,3
52592,8
21986,3
18390,3
40521,0
48392,3
69717,3
29167,2
62169,4
29767,4
45787,9
54299,2
59422,2
3504,4
49602,3
64747,7
66868,1
16241,1
56731,8
6987,0
44901,2
29028,6
16147,9
44902,2
24666,5
3700,6
11854,7
66803,5
56531,7
21636,2
21272,1
61627,9
38054,0
12959,6
56378,8
59174,9
3942,7
43896,9
68162,3
34520,6
51892,0
6778,4
46355,9
16061,1
41414,7
16778,9
729,4
19894,1
61029,8
37233,9
16873,3
35553,7
9379,6
17840,2
65101,4
65280,0
65768,6
37975,4
32866,6
52137,7
32742,8
62429,2
29430,1
38837,1
20543,6
14947,4
6090,6
55478,1
6229,1
735,6
38827,3
27510,5
45679,8
64103,2
61965,2
19413,3
2506,3
8918,8
16821,6
4040,8
59073,6
48372,8
43259,9
42834,1
3868,7
754,4
32471,8
4668,9
48837,2
59338,5
35589,8
11339,2
22240,6
52803,7
29402,8
48621,2
33542,6
59010,1
22670,4
47323,9
1743,9
24682,7
10678,3
33974,9
6107,4
31232,6
14984,9
11758,0
6937,2
14265,6
59509,6
13410,7
12713,5
4597,0
37596,7
23264,5
66451,9
56757,1
25181,0
51001,2
62599,1
16600,4
43564,6
15452,7
30112,5
27098,7
43214,1
29164,8
6471,5
38330,2
23826,2
6356,1
52364,5
11483,6
59087,4
32505,3
5094,2
49669,9
51456,6
16080,1
67024,3
5086,3
17688,8
5456,5
55165,8
38356,2
49102,4
6284,8
13399,1
13339,4
45037,1
63432,3
36836,4
54257,9
52290,8
18943,2
45841,9
68577,4
33003,0
61536,6
69493,5
14078,5
18904,6
62688,1
43769,2
3653,9
6492,2
32753,3
3293,8
31960,3
47855,0
11128,6
12468,6
45611,4
14203,8
40727,8
25162,4
10786,6
69967,8
1263,5
63823,2
67715,5
46761,4
5295,4
30561,2
17267,7
5040,6
27241,8
44190,4
39852,3
32007,0
24708,5
24600,8
54288,6
40858,3
16196,2
34964,2
59377,5
56741,3
23653,6
66006,7
15260,7
42526,3
39876,8
13211,0
3737,8
10167,0
38695,6
4639,1
40713,5
69955,1
55999,3
48537,1
7142,8
43772,5
49575,0
61653,5
2496,6
27650,8
65029,9
6376,9
59615,0
3676,2
18331,6
881,6
1612,9
55540,2
14237,6
29731,9
51664,6
58479,1
1303,6
15482,3
24200,7
56695,5
12672,2
65161,6
1346,0
47524,6
52030,9
23603,7
54366,5
27613,8
52601,3
6652,4
25018,8
45535,7
21886,4
13779,0
18887,8
43306,8
17873,2
36363,6
11973,0
17449,0
2523,6
45592,7
15443,3
16794,2
30809,1
31892,6
53145,4
17560,1
31191,8
10729,6
1065,1
66174,3
41714,4
56491,1
19525,7
19104,0
50805,7
2904,0
68375,7
35582,3
13886,5
53055,9
61306,4
65517,4
43055,5
65356,3
59507,5
68395,4
46246,3
