,target
61229,8
48263,0
62389,8
25984,8
41973,8
27887,6
61533,0
33052,9
56958,4
69864,7
26434,2
35780,4
68499,6
8888,3
33648,1
63066,4
3410,0
50720,2
62185,0
27188,2
2288,2
61476,5
8141,9
23334,7
54632,7
27793,1
47611,6
7660,3
41424,1
51023,7
14470,7
36220,6
59035,6
3699,3
67585,6
67998,7
67096,4
66941,4
20947,0
22958,2
3061,4
49601,0
26683,9
68803,5
24767,4
59004,2
3998,9
34577,8
42100,0
34173,1
48119,1
19825,5
56797,4
61214,1
59210,4
43515,8
10031,3
36208,4
32705,1
64357,7
69056,3
56535,3
64104,1
61349,2
69193,4
14132,2
42857,4
13899,8
23106,2
10369,3
44602,6
43539,1
58549,6
17481,7
3547,4
24000,8
42503,2
13426,4
36249,9
66796,2
19887,9
26520,8
46167,6
29495,9
66312,3
59871,7
41775,4
13288,3
53,4
10433,4
42913,0
39857,1
27721,2
60069,0
59267,0
39790,2
48590,6
26148,3
23535,7
62547,7
37536,7
26397,8
45097,7
50588,6
44774,7
39622,1
16474,0
22351,7
6854,6
17652,6
54824,1
18756,9
6077,5
3046,6
35612,0
14694,2
6365,1
19347,3
9907,1
28686,2
46715,6
68430,3
10511,3
51856,7
56660,1
39546,1
29643,6
42296,7
30136,3
17842,4
26748,9
28505,0
21814,4
18807,4
62177,8
61789,3
45166,5
40675,7
47318,4
67738,1
22556,5
7399,4
20821,6
31915,8
68984,7
26313,5
43513,2
58479,1
47377,3
64251,8
67177,4
28516,1
5659,2
6048,3
41003,3
58805,4
6031,6
57374,9
2461,5
69520,1
45210,4
66690,3
56189,1
52242,2
23576,1
53200,5
4200,7
9551,7
25137,0
33919,6
25842,1
4828,6
37909,8
33982,2
45652,7
25726,5
58573,8
69083,3
56168,2
32834,0
62230,3
23350,8
56883,9
35720,0
53601,7
4570,3
54633,2
31132,9
28061,7
31794,2
68260,0
45128,0
7243,0
5411,9
14546,4
33082,7
12500,0
66653,7
58295,6
42602,1
37005,8
34936,2
29437,6
36267,6
47059,3
53994,0
41762,7
32228,6
3563,5
51814,4
13347,0
17341,3
18659,1
29387,8
64452,8
20819,8
30670,7
56086,7
22010,2
34636,2
37231,6
61029,8
23255,1
49836,9
12195,0
36201,9
52943,9
62606,5
54257,9
57410,1
21125,8
55432,3
24523,6
1080,1
21141,0
69963,7
69785,9
60892,2
37720,8
27415,6
11892,6
68622,6
64891,0
48554,0
51611,8
39106,1
1132,1
41520,7
64747,7
67233,3
21697,1
519,0
21685,3
44342,4
40939,8
2956,9
62209,0
34876,9
10699,2
61708,0
45429,4
22499,8
55575,4
24705,7
2801,4
27591,4
50489,1
59658,1
21596,3
62179,8
54152,7
54149,4
16643,1
67788,8
24935,7
51475,6
61402,2
36058,9
5816,2
14054,5
2537,5
32947,2
49753,4
69249,1
2984,7
25020,2
4494,4
64258,4
14038,1
6446,0
18215,2
1638,5
65858,7
69033,4
32630,2
23577,6
48375,8
34056,2
42986,1
24546,2
1437,7
725,8
69331,5
54743,9
41379,7
14675,0
31178,3
53427,1
10384,0
32400,8
27949,9
20757,6
12237,9
7262,2
54416,1
1129,2
26068,9
15237,0
25534,4
25832,5
48864,6
31435,5
28526,8
34309,5
44659,8
22733,3
64782,3
44895,9
9201,6
8172,0
45073,2
40116,4
6538,0
33271,7
2812,2
27489,1
18578,4
38385,4
25018,8
17813,7
14444,5
52086,5
21146,8
4808,3
2232,3
7315,1
45205,1
35267,5
5648,1
25615,7
2216,9
21661,5
30520,9
47528,5
52762,2
66403,8
26242,4
67319,1
39298,4
60281,9
16037,4
51066,6
31108,3
5876,1
57109,1
36935,9
691,1
23997,3
1336,3
24852,8
29342,8
42497,9
44793,5
17124,0
29225,3
57696,8
37963,7
5694,0
28102,0
43364,4
25603,5
7336,3
35352,1
39601,6
15950,8
30116,8
7161,2
45855,1
46473,7
55981,4
67965,5
56782,5
65522,8
44767,2
61337,2
14858,1
12499,1
5372,8
49671,5
27273,9
9812,3
63774,0
60738,2
6492,2
44377,2
64947,9
10067,1
19727,4
29581,7
24888,1
7212,6
58817,8
43785,9
15062,7
68552,4
65102,5
36347,8
35589,8
30381,1
32170,2
2626,2
20905,8
22426,5
52354,0
40874,6
63729,2
36898,1
59997,5
17177,7
29762,7
69716,2
32067,9
130,3
41420,2
14077,9
7903,4
37925,2
35483,2
42527,7
14126,1
27101,6
19200,3
24134,8
21682,1
42934,2
44946,9
46375,0
34036,0
22496,3
19271,2
44539,7
3157,4
69192,3
14984,9
1036,9
56451,7
11851,0
42285,9
65881,8
22681,6
27046,6
37711,3
55960,3
43531,4
61372,2
8512,1
5525,0
9080,3
23548,9
15039,2
47242,7
42851,9
62563,7
36867,4
50193,6
24586,8
51902,4
40999,1
62318,0
8184,3
18723,5
59876,6
66414,5
38687,3
24126,1
879,5
63106,2
51027,5
67709,6
62724,8
7910,1
38952,2
27239,2
25951,8
46106,7
462,0
22637,0
12039,5
65168,3
32050,6
51427,6
47314,5
398,1
52710,1
6078,9
14801,6
50189,4
11944,7
11143,1
52622,1
44875,8
8020,7
57280,7
51413,9
4369,3
63412,0
18691,7
36011,5
475,1
45062,9
45185,7
15438,1
18449,7
62285,7
21429,7
13076,0
63371,0
42338,5
44332,4
38142,8
38983,3
55265,9
39420,2
4289,0
69823,7
50917,4
43873,9
41095,7
68664,4
45752,4
42360,9
62982,1
61584,8
46139,0
48025,0
37691,3
20551,0
11709,4
61658,2
42343,3
25439,7
41143,3
49194,1
55223,5
54084,3
43874,2
25634,9
56501,6
11229,1
8450,3
16918,9
28809,0
30601,8
37540,3
61104,7
50738,8
3362,2
53192,4
35605,9
12581,4
42508,3
68886,4
33777,8
4632,3
29540,0
26282,9
35245,9
3954,1
32651,7
59375,3
38888,5
54474,0
45843,3
4113,5
19276,6
48177,1
33306,4
28871,8
10713,1
28770,5
62787,2
54343,3
57206,9
29722,8
61038,1
49191,2
24874,4
10123,1
16833,8
31262,9
11619,3
45502,1
27219,7
46183,0
39315,8
48195,4
56822,7
13946,5
65132,1
14171,5
58497,7
33893,8
4054,6
43562,3
30787,0
58918,9
35036,8
50847,1
26152,1
8792,6
58627,4
3559,6
25457,5
28651,2
14918,5
28774,9
13425,9
25142,6
44923,5
29134,9
19104,0
27249,6
1871,7
15100,4
69245,9
32897,3
61045,9
64665,9
65463,0
12297,9
47491,4
68123,6
32952,0
3681,5
6173,7
56083,2
19561,4
66040,0
58668,0
61073,5
24559,5
48537,1
49174,7
4125,4
11328,7
24675,7
59338,5
56539,4
62141,7
41883,3
17408,6
57222,1
53863,3
26511,6
59914,3
56475,3
68940,5
52025,2
60921,2
64512,6
4439,4
37780,0
4159,0
47913,3
9706,3
6511,1
746,4
36742,4
47054,1
1103,9
48142,0
36420,9
48392,3
69692,9
52122,5
9913,3
30808,9
66942,5
14663,7
18354,6
68969,2
65266,2
40381,8
42532,2
42086,9
65874,5
59506,9
2690,5
63834,3
37017,3
36184,6
2304,5
40480,3
65280,0
3097,6
60945,2
6225,9
62891,2
37709,8
17185,7
49351,0
23811,7
68367,1
19201,8
22439,8
18344,6
24731,3
24638,6
37143,2
54415,4
2056,5
33465,0
62937,0
37368,3
22895,9
40643,7
40465,7
43568,5
37160,5
32854,2
48560,8
34011,8
50639,8
22810,8
36462,2
5352,7
1262,2
15390,5
28083,6
64776,0
29766,6
5725,8
39479,8
25831,4
25363,7
29671,3
40713,5
49441,1
27341,7
16983,1
18471,0
49931,6
20512,6
26022,8
9235,7
3638,5
815,5
13678,9
60128,8
5746,9
829,6
2455,7
15646,7
12465,4
39811,0
22513,7
59801,6
15701,3
45154,6
18389,1
54845,3
35095,4
30333,5
13376,3
12717,7
68097,8
57874,9
52323,0
8592,9
65296,6
54962,9
15894,9
51899,8
58569,5
15985,6
56609,0
36248,3
54580,1
19646,0
82,2
18117,2
34502,0
16686,1
40964,5
26410,6
62555,3
66604,1
41355,4
55912,2
23675,2
26587,1
29037,5
7782,2
11497,6
15452,7
22070,2
406,1
21209,3
35457,2
31317,4
57475,2
5708,1
50836,6
2647,4
40012,8
5721,6
4712,6
33375,9
11382,8
30079,4
66852,7
31857,0
46022,4
13513,7
45437,1
45335,6
17774,4
48658,8
12939,6
49510,6
24606,1
36320,8
52579,7
40717,6
68401,7
41842,6
45152,0
63367,2
56043,3
53544,9
571,8
44878,9
19297,1
8277,2
39018,1
64761,9
16271,7
66153,8
39541,1
10364,1
40444,4
46307,5
