,target
9338,6
26262,0
44703,0
15361,1
37858,4
53998,9
49849,7
62776,3
17652,6
61695,9
21935,4
9910,1
64885,3
40148,1
31165,0
23367,0
69906,4
66791,7
35903,5
65715,6
67534,8
63146,3
38447,7
3263,9
28576,6
50079,9
30344,2
57232,5
35129,8
54464,0
18038,2
62820,7
50865,6
6073,9
67947,4
17420,7
30786,7
30494,8
28702,6
46510,2
31387,7
37302,4
64495,0
462,0
26434,2
9307,7
7727,9
31161,9
52203,9
31475,6
66560,9
33663,1
50099,9
61377,6
30025,6
22610,9
33043,0
66580,0
63728,4
15355,8
69740,9
52700,3
67310,6
35155,3
56812,5
56491,1
34944,2
49248,2
24443,7
9022,7
53990,4
54778,4
65155,0
47275,0
17912,2
35186,4
17540,1
35050,0
39646,1
29244,2
1147,9
33878,2
38960,4
33609,3
1592,5
15646,7
16714,1
11043,1
60803,4
47079,0
2817,0
14838,2
32569,6
17142,9
53335,8
57513,8
6038,2
14105,4
37397,3
11136,5
63008,9
23851,3
14993,8
54904,5
29723,5
31568,6
60533,4
32118,6
7777,8
32408,2
63066,4
98,3
30106,6
5303,5
44389,1
9833,7
19618,8
17501,9
25802,3
34673,7
49351,0
52364,5
41131,7
22800,2
1361,2
4953,1
51850,8
36702,6
54203,5
61627,9
43203,8
51707,7
7783,7
30409,0
1810,5
1134,2
62688,1
27871,1
59642,6
18409,1
57896,9
29766,6
12735,6
6722,7
47285,4
28628,0
59990,9
54638,7
42111,0
66332,4
1850,9
28115,6
50311,0
23376,8
57916,0
10021,8
9372,9
15081,7
53008,2
18508,5
51275,2
22289,8
63816,8
36539,5
48405,4
40699,2
64069,1
26645,0
28271,5
12508,1
442,4
19243,1
58696,9
12664,1
22863,3
10490,8
27845,5
13479,7
1554,4
48843,9
27181,2
58674,8
5648,1
15354,9
66066,4
12171,9
52163,6
60020,9
62155,0
42730,6
61774,8
54002,5
4097,4
69632,6
54215,6
23825,5
47472,6
53816,1
48996,9
17237,8
56120,2
65879,2
30041,3
19923,4
6391,2
27748,9
63765,1
8964,4
5805,4
19752,5
5411,9
20820,9
32269,2
35052,1
56468,5
37688,9
40134,8
50834,3
41354,4
33571,7
40017,7
66626,4
62349,8
34292,9
57198,6
35774,1
47982,1
10517,7
18340,5
30530,2
68967,6
34700,6
52406,9
33587,3
59536,0
49229,0
30770,6
21061,6
23734,5
30609,2
52075,1
54504,9
66064,2
66858,7
6652,4
66635,2
9323,5
44247,2
59460,1
13341,8
52803,7
52416,1
66294,6
27404,6
2240,4
19710,6
44635,6
39503,0
64068,8
35960,7
56620,4
47624,5
51722,4
59073,6
66193,2
48372,8
102,1
62446,2
49549,9
60668,4
54556,2
