,target
22354,5
32067,9
66101,1
59596,1
44867,0
51581,9
1814,4
38306,6
46584,8
20253,6
33644,2
27510,5
23206,3
3037,4
13175,0
52947,5
54699,6
35481,0
40658,1
67301,4
9980,4
69819,1
49988,9
47705,6
12948,4
13480,9
65251,0
7828,1
12851,6
37081,1
6071,3
59588,3
16085,0
65076,4
40391,9
60750,0
4998,1
9518,2
15191,0
37076,4
15032,6
2701,7
32134,5
8820,6
49636,5
33712,9
53800,0
31854,9
37780,0
29829,8
45823,0
41118,8
20260,7
12316,4
11023,4
6920,3
44213,4
14703,4
63469,3
50635,6
54417,1
33632,5
67769,9
56850,7
44619,0
57215,7
46000,9
10014,7
5558,9
18934,5
66803,5
61376,5
62126,2
29164,8
62362,8
29732,0
23367,0
21319,0
42477,3
30530,2
67849,3
14797,2
50740,8
18684,2
398,1
27240,6
61280,1
12711,4
34692,5
29028,6
24925,8
8304,0
15100,4
48834,0
16334,1
53313,7
27203,7
48748,2
2898,6
54993,9
59944,0
23342,1
27153,0
63104,3
59928,6
59397,9
32484,3
21482,7
44700,0
29441,6
37113,0
49122,3
19413,3
29682,6
23268,2
60609,2
36078,3
22697,4
59067,8
11298,2
57297,6
51668,8
69936,8
41020,4
59768,1
43634,4
39484,1
32580,7
1598,8
414,4
46476,5
31581,0
15659,9
29566,4
17079,6
10638,1
24853,2
16819,5
48008,2
63615,4
41606,0
45226,5
99,1
57878,2
52932,8
54446,5
10457,7
67125,4
28619,6
27088,4
20659,1
68207,9
4487,1
56404,0
44048,9
56794,7
13317,3
29454,6
18352,1
41212,3
56419,0
40236,4
69539,9
32821,9
53527,3
40073,9
50165,6
10236,4
47712,9
12236,1
62891,2
49067,2
21217,7
36545,7
28123,3
14694,2
14429,2
16821,6
44265,2
68426,9
59727,4
57715,1
39187,8
31313,8
29047,4
43097,8
68069,2
7298,6
41876,6
3869,6
21059,5
67321,2
48850,5
69540,1
40819,1
37201,1
39363,0
28877,1
32516,8
1638,5
