,0,1,2,3
125,7.2,3.2,6.0,1.8
146,6.3,2.5,5.0,1.9
3,4.6,3.1,1.5,0.2
115,6.4,3.2,5.3,2.3
90,5.5,2.6,4.4,1.2
23,5.1,3.3,1.7,0.5
32,5.2,4.1,1.5,0.1
114,5.8,2.8,5.1,2.4
73,6.1,2.8,4.7,1.2
66,5.6,3.0,4.5,1.5
13,4.3,3.0,1.1,0.1
144,6.7,3.3,5.7,2.5
122,7.7,2.8,6.7,2.0
96,5.7,2.9,4.2,1.3
15,5.7,4.4,1.5,0.4
77,6.7,3.0,5.0,1.7
45,4.8,3.0,1.4,0.3
76,6.8,2.8,4.8,1.4
16,5.4,3.9,1.3,0.4
21,5.1,3.7,1.5,0.4
127,6.1,3.0,4.9,1.8
25,5.0,3.0,1.6,0.2
44,5.1,3.8,1.9,0.4
19,5.1,3.8,1.5,0.3
7,5.0,3.4,1.5,0.2
24,4.8,3.4,1.9,0.2
78,6.0,2.9,4.5,1.5
119,6.0,2.2,5.0,1.5
28,5.2,3.4,1.4,0.2
107,7.3,2.9,6.3,1.8
1,4.9,3.0,1.4,0.2
121,5.6,2.8,4.9,2.0
62,6.0,2.2,4.0,1.0
2,4.7,3.2,1.3,0.2
135,7.7,3.0,6.1,2.3
12,4.8,3.0,1.4,0.1
40,5.0,3.5,1.3,0.3
48,5.3,3.7,1.5,0.2
98,5.1,2.5,3.0,1.1
126,6.2,2.8,4.8,1.8
117,7.7,3.8,6.7,2.2
46,5.1,3.8,1.6,0.2
129,7.2,3.0,5.8,1.6
124,6.7,3.3,5.7,2.1
109,7.2,3.6,6.1,2.5
